city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
ANTALYA,44,611.1273,3044.9788,1.04,3657.1461,5320.298142264412,2017,1.455,akdeniz
ARDAHAN,632,5840.9606,0,16.7368,5857.6974,15003.120079999999,2017,2.569,dogu_anadolu
ARTVIN,1197,1333.8379,0,0,1333.8379,3205.95920003,2017,2.404,karadeniz
AYDIN,10573,54311.7693,811.8429,1.3154,55124.9276,288330.0882487678,2017,5.231,ege
BALIKESIR,108,1510.0625,537.4147,0,2047.4772,3182.9017540889986,2017,1.555,marmara
BARTIN,40,25.9257,2433,0,2458.9257,1373.8197849009998,2017,0.559,karadeniz
BATMAN,7,244,0,5.6676,249.6676,608.426084999,2017,2.494,guneydogu_anadolu
BAYBURT,44,309.5523,0,9.4737,319.026,1044.067484,2017,3.373,karadeniz
BILECIK,75,89.988,0,0,89.988,1829.8955806199979,2017,20.335,marmara
BITLIS,369,5812.8858,0,332.7314,6145.6172,17902.57683121,2017,3.08,dogu_anadolu
BOLU,7,20.094,0,0,20.094,438.9504590000001,2017,21.845,karadeniz
BURDUR,18,236.283,0,0,236.283,756.78514981,2017,3.203,akdeniz
BURSA,105,287.1508,0,9.5072,296.658,2878.9016028712103,2017,10.026,marmara
CANAKKALE,417,3172.0596,0,16.5564,3188.616,11255.4309259455,2017,3.548,marmara
CANKIRI,1,4.4998,0,0,4.4998,4.4998002,2017,1,ic_anadolu
CORUM,29,14.2909,0,0,14.2909,98.57716799,2017,6.898,karadeniz
DENIZLI,227,977.7299,0,52.8512,1030.5811,11338.565894209998,2017,11.597,ege
DIYARBAKIR,715,1721.0866,0,49.5273,1770.6139,7878.87756404,2017,4.578,guneydogu_anadolu
DUZCE,98,375.4733,0,0,375.4733,1379.47760871,2017,3.674,karadeniz
EDIRNE,4,22.42,0,0,22.42,8.7551003,2017,0.391,marmara
ELAZIG,110,812.7732,0,19.9973,832.7705,3227.6651851129996,2017,3.971,dogu_anadolu
ERZINCAN,206,2777.6042,0,56.6175,2834.2217,7987.571654890001,2017,2.876,dogu_anadolu
ERZURUM,2347,28831.9321,0,727.6931,29559.625200000002,127403.31820600202,2017,4.419,dogu_anadolu
ESKISEHIR,12,55.8699,0,2.3,58.1699,355.33273382599,2017,6.36,ic_anadolu
GAZIANTEP,105,1456.2985,0,8.5595,1464.8580000000002,13063.9081387,2017,8.971,guneydogu_anadolu
GIRESUN,17,82.2183,0,0,82.2183,169.35172,2017,2.06,karadeniz
HATAY,50,607.2907,0,0,607.2907,2599.984835931,2017,4.281,akdeniz
IGDIR,1,1.1729,0,0,1.1729,2.3457999,2017,2,dogu_anadolu
ISPARTA,92,228.992,0,15.6356,244.6276,2058.7553203070097,2017,8.991,akdeniz
ISTANBUL,14,45.0884,0,24.0837,69.1721,379.6375468914998,2017,8.42,marmara
IZMIR,2496,13389.359,0,27.1888,13416.5478,57826.13772934511,2017,4.319,ege
KAHRAMANMARAS,28,161.3144,0,0,161.3144,1275.9611111,2017,7.91,akdeniz
KARABUK,1,1.4155,0,0,1.4155,8.843600037,2017,6.248,karadeniz
KARAMAN,189,668.34,0,0.1322,668.4722,8216.386022402998,2017,12.294,ic_anadolu
KARS,3212,46399.0391,0,29.9466,46428.985700000005,107140.92669621,2017,2.309,dogu_anadolu
KASTAMONU,9,175.0124,8229.5154,10.1266,8414.6544,15065.664320240001,2017,1.793,karadeniz
KAYSERI,30,112.3735,0,0.5044,112.87790000000001,384.2451493830001,2017,3.419,ic_anadolu
KIRIKKALE,3,6.5741,0,0.1457,6.719799999999999,39.420799785700005,2017,5.996,ic_anadolu
KIRKLARELI,7,29.8363,0,0.6319,30.468200000000003,101.804799868,2017,3.412,marmara
KIRSEHIR,3,53.7959,4,0,57.7959,138.54462316000001,2017,2.397,ic_anadolu
KILIS,359,2828.5251,0,8.7144,2837.2394999999997,11839.577672000001,2017,4.186,guneydogu_anadolu
KOCAELI,4,43.7253,0,0,43.7253,252.22299810980002,2017,5.768,marmara
KONYA,543,1305.2051,0,20.1247,1325.3298,15908.1479451854,2017,12.188,ic_anadolu
KUTAHYA,114,404.3084,0,2.4501,406.7585,2749.022670008,2017,6.799,ege
